Time,S1,S2,S3,S4,Fail
2008-07-19 11:55,-1.7264,21.7264,0.9226,6.5893,-1
2008-07-19 12:32,0.8073,19.1927,1.1598,5.9247,-1
2008-07-19 13:17,23.8245,16.1755,0.8694,5.9453,1
2008-07-19 14:43,24.3791,15.6209,0.9761,6.6262,-1
2008-07-19 15:22,-12.2945,32.2945,0.9256,4.7279,-1
2008-07-19 17:53,28.2955,11.7045,0.9227,6.9023,-1
2008-07-19 19:44,2.1109,17.8891,1.115,5.6179,-1
2008-07-19 19:45,29.1309,10.8691,0.9965,6.7078,-1
2008-07-19 20:24,26.9791,13.0209,0.9079,5.1862,-1
2008-07-19 21:35,28.3118,11.6882,1.0028,4.6386,-1
2008-07-19 21:57,27.8373,12.1627,0.8692,5.6835,1
2008-07-19 22:52,25.0836,14.9164,0.9241,5.7487,1
2008-07-20 3:35,22.6227,17.3773,0.9556,5.9035,-1
2008-07-21 8:21,-1.1927,21.1927,0.9458,6.3649,-1
2008-07-21 11:53,17.6382,22.3618,1.0144,5.123,1
2008-07-22 0:03,20.4209,19.5791,0.9025,4.8336,-1
2008-07-22 2:59,-8.1182,28.1182,0.8885,4.46,-1
2008-07-22 8:41,-5.5327,25.5327,0.9808,6.0208,-1
2008-07-22 11:47,0.4836,19.5164,0.9488,6.7673,-1
2008-07-22 14:00,22.4736,17.5264,1.1173,7.2048,-1
2008-07-22 15:30,3.97,16.03,0.8482,8.0033,-1
2008-07-23 5:15,0.12,19.88,0.8824,6.3283,-1
2008-07-23 19:22,-3.6564,23.6564,0.9885,5.931,-1
2008-07-25 15:23,18.3936,21.6064,0.9004,5.1394,1
2008-07-27 4:18,15.3536,24.6464,0.9295,6.3794,-1
2008-07-27 9:37,2.9964,17.0036,1.0265,4.6076,-1
2008-07-27 11:10,-6.9155,26.9155,0.9592,5.6116,-1
2008-07-27 15:46,17.3873,22.6127,1.2603,6.454,-1
2008-07-27 16:06,13.1136,26.8864,0.8801,4.9932,-1
2008-07-27 16:49,14.7073,25.2927,0.9518,5.9092,-1
2008-07-27 20:24,29.5109,10.4891,0.9794,5.3846,-1
2008-07-27 22:28,13.1482,26.8518,0.9459,6.5439,-1
2008-07-27 22:28,-3.3864,23.3864,0.9684,5.324,-1
2008-07-27 23:14,4.4036,15.5964,0.9985,5.1045,-1
2008-07-28 3:31,17.5473,22.4527,0.8726,5.6724,-1
2008-07-28 3:48,-10.1245,30.1245,0.9618,5.4498,-1
2008-07-28 4:37,13.9782,26.0218,1.2754,6.3331,-1
2008-07-28 5:36,13.4891,26.5109,0.9285,5.4884,-1
2008-07-28 6:45,24.9027,15.0973,0.9017,9.3583,1
2008-07-28 8:36,23.4736,16.5264,0.9273,5.7302,-1
